,max_df,max_features,min_df,random_state,train_score,test_score
137,0.83,1000,2,1337,0.7436974789915967,0.6876574307304786
138,0.83,2000,1,1,0.8096638655462185,0.707808564231738
139,0.83,2000,1,42,0.7983193277310925,0.6977329974811083
140,0.83,2000,1,1337,0.7978991596638656,0.7216624685138538
141,0.83,2000,2,1,0.8100840336134454,0.707808564231738
142,0.83,2000,2,42,0.7983193277310925,0.698992443324937
143,0.83,2000,2,1337,0.7983193277310925,0.7229219143576826
144,0.83,3000,1,1,0.8243697478991596,0.7027707808564232
145,0.83,3000,1,42,0.8163865546218487,0.7015113350125944
146,0.83,3000,1,1337,0.8100840336134454,0.7027707808564232
147,0.83,3000,2,1,0.8260504201680672,0.7040302267002518
148,0.83,3000,2,42,0.8168067226890756,0.7015113350125944
149,0.83,3000,2,1337,0.8130252100840336,0.7015113350125944
150,0.83,4000,1,1,0.8239495798319327,0.6914357682619647
151,0.83,4000,1,42,0.8159663865546218,0.6889168765743073
152,0.83,4000,1,1337,0.8176470588235294,0.6952141057934509
153,0.83,4000,2,1,0.8256302521008403,0.690176322418136
154,0.83,4000,2,42,0.8138655462184874,0.6876574307304786
155,0.83,4000,2,1337,0.815546218487395,0.6964735516372796
156,0.83,5000,1,1,0.8176470588235294,0.6801007556675063
157,0.83,5000,1,42,0.8058823529411765,0.6838790931989924
158,0.83,5000,1,1337,0.8067226890756303,0.6838790931989924
159,0.83,5000,2,1,0.8197478991596638,0.6788413098236776
160,0.83,5000,2,42,0.8071428571428572,0.6826196473551638
161,0.83,5000,2,1337,0.8067226890756303,0.6826196473551638
162,0.83,8000,1,1,0.7827731092436975,0.6423173803526449
163,0.83,8000,1,42,0.7743697478991597,0.6511335012594458
164,0.83,8000,1,1337,0.7600840336134453,0.628463476070529
165,0.83,8000,2,1,0.7823529411764706,0.646095717884131
166,0.83,8000,2,42,0.7752100840336135,0.6523929471032746
167,0.83,8000,2,1337,0.7600840336134453,0.6309823677581864
168,0.9,500,1,1,0.7,0.6511335012594458
169,0.9,500,1,42,0.7096638655462185,0.6574307304785895
170,0.9,500,1,1337,0.6928571428571428,0.6700251889168766
171,0.9,500,2,1,0.6995798319327731,0.6511335012594458
172,0.9,500,2,42,0.7096638655462185,0.6574307304785895
173,0.9,500,2,1337,0.6928571428571428,0.6700251889168766
174,0.9,1000,1,1,0.7508403361344538,0.7002518891687658
175,0.9,1000,1,42,0.7554621848739496,0.6763224181360201
176,0.9,1000,1,1337,0.7445378151260504,0.6851385390428212
177,0.9,1000,2,1,0.75,0.6977329974811083
178,0.9,1000,2,42,0.7533613445378151,0.6712846347607053
179,0.9,1000,2,1337,0.7436974789915967,0.6876574307304786
180,0.9,2000,1,1,0.8067226890756303,0.7090680100755667
181,0.9,2000,1,42,0.7970588235294118,0.6964735516372796
182,0.9,2000,1,1337,0.7974789915966387,0.7204030226700252
183,0.9,2000,2,1,0.8084033613445378,0.7103274559193955
184,0.9,2000,2,42,0.7966386554621848,0.6977329974811083
185,0.9,2000,2,1337,0.7974789915966387,0.7204030226700252
