,max_df,max_features,min_df,random_state,train_score,test_score
66,0.66,4000,1,1,0.8176470588235294,0.6851385390428212
67,0.66,4000,1,42,0.807563025210084,0.690176322418136
68,0.66,4000,1,1337,0.8058823529411765,0.6926952141057935
69,0.66,4000,2,1,0.8172268907563025,0.6863979848866498
70,0.66,4000,2,42,0.8079831932773109,0.6914357682619647
71,0.66,4000,2,1337,0.8058823529411765,0.6939546599496221
72,0.66,5000,1,1,0.8142857142857143,0.6838790931989924
73,0.66,5000,1,42,0.8029411764705883,0.6863979848866498
74,0.66,5000,1,1337,0.7991596638655463,0.6712846347607053
75,0.66,5000,2,1,0.8142857142857143,0.6826196473551638
76,0.66,5000,2,42,0.8025210084033614,0.6889168765743073
77,0.66,5000,2,1337,0.7995798319327732,0.6700251889168766
78,0.66,8000,1,1,0.773109243697479,0.6360201511335013
79,0.66,8000,1,42,0.7680672268907563,0.663727959697733
80,0.66,8000,1,1337,0.7571428571428571,0.6272040302267002
81,0.66,8000,2,1,0.7735294117647059,0.6372795969773299
82,0.66,8000,2,42,0.7705882352941177,0.6675062972292192
83,0.66,8000,2,1337,0.7579831932773109,0.6309823677581864
84,0.75,500,1,1,0.7092436974789916,0.6687657430730478
85,0.75,500,1,42,0.7142857142857143,0.663727959697733
86,0.75,500,1,1337,0.6949579831932773,0.6586901763224181
87,0.75,500,2,1,0.7092436974789916,0.6687657430730478
88,0.75,500,2,42,0.7142857142857143,0.663727959697733
89,0.75,500,2,1337,0.6949579831932773,0.6586901763224181
90,0.75,1000,1,1,0.7563025210084033,0.6851385390428212
91,0.75,1000,1,42,0.7470588235294118,0.6649874055415617
92,0.75,1000,1,1337,0.7516806722689076,0.690176322418136
93,0.75,1000,2,1,0.7558823529411764,0.6851385390428212
94,0.75,1000,2,42,0.7470588235294118,0.6662468513853904
95,0.75,1000,2,1337,0.7521008403361344,0.690176322418136
96,0.75,2000,1,1,0.8109243697478992,0.7065491183879093
97,0.75,2000,1,42,0.7949579831932773,0.7090680100755667
98,0.75,2000,1,1337,0.7932773109243697,0.707808564231738
99,0.75,2000,2,1,0.811344537815126,0.7027707808564232
100,0.75,2000,2,42,0.7941176470588235,0.7090680100755667
101,0.75,2000,2,1337,0.7949579831932773,0.7115869017632241
102,0.75,3000,1,1,0.8222689075630252,0.6977329974811083
103,0.75,3000,1,42,0.8092436974789916,0.690176322418136
104,0.75,3000,1,1337,0.8088235294117647,0.7128463476070529
105,0.75,3000,2,1,0.8218487394957983,0.7002518891687658
106,0.75,3000,2,42,0.8105042016806723,0.690176322418136
107,0.75,3000,2,1337,0.8079831932773109,0.7115869017632241
108,0.75,4000,1,1,0.8168067226890756,0.6876574307304786
109,0.75,4000,1,42,0.8058823529411765,0.6914357682619647
110,0.75,4000,1,1337,0.8096638655462185,0.690176322418136
111,0.75,4000,2,1,0.8151260504201681,0.6863979848866498
112,0.75,4000,2,42,0.8067226890756303,0.6939546599496221
113,0.75,4000,2,1337,0.8046218487394958,0.6926952141057935
114,0.75,5000,1,1,0.8105042016806723,0.6801007556675063
115,0.75,5000,1,42,0.7966386554621848,0.6851385390428212
116,0.75,5000,1,1337,0.7970588235294118,0.6700251889168766
117,0.75,5000,2,1,0.8105042016806723,0.6801007556675063
118,0.75,5000,2,42,0.7966386554621848,0.6863979848866498
119,0.75,5000,2,1337,0.7970588235294118,0.6687657430730478
120,0.75,8000,1,1,0.7701680672268908,0.6372795969773299
121,0.75,8000,1,42,0.7634453781512605,0.6612090680100756
122,0.75,8000,1,1337,0.7516806722689076,0.6309823677581864
123,0.75,8000,2,1,0.7714285714285715,0.6347607052896725
124,0.75,8000,2,42,0.7655462184873949,0.663727959697733
