,max_df,max_features,min_df,random_state,train_score,test_score
141,0.83,2000,2,1,0.7823529411764706,0.707808564231738
142,0.83,2000,2,42,0.7684873949579832,0.7191435768261965
143,0.83,2000,2,1337,0.776890756302521,0.7027707808564232
144,0.83,3000,1,1,0.7798319327731092,0.7052896725440806
145,0.83,3000,1,42,0.7705882352941177,0.707808564231738
146,0.83,3000,1,1337,0.7756302521008404,0.7002518891687658
147,0.83,3000,2,1,0.7794117647058824,0.7052896725440806
148,0.83,3000,2,42,0.7710084033613446,0.7065491183879093
149,0.83,3000,2,1337,0.7739495798319328,0.6952141057934509
150,0.83,4000,1,1,0.7638655462184873,0.6889168765743073
151,0.83,4000,1,42,0.7542016806722689,0.6964735516372796
152,0.83,4000,1,1337,0.7521008403361344,0.681360201511335
153,0.83,4000,2,1,0.7647058823529411,0.690176322418136
154,0.83,4000,2,42,0.7546218487394958,0.6952141057934509
155,0.83,4000,2,1337,0.753781512605042,0.681360201511335
156,0.83,5000,1,1,0.7415966386554622,0.6788413098236776
157,0.83,5000,1,42,0.7235294117647059,0.6675062972292192
158,0.83,5000,1,1337,0.7256302521008403,0.6649874055415617
159,0.83,5000,2,1,0.742436974789916,0.6788413098236776
160,0.83,5000,2,42,0.7260504201680672,0.6700251889168766
161,0.83,5000,2,1337,0.7260504201680672,0.6662468513853904
162,0.83,8000,1,1,0.6840336134453782,0.6486146095717884
163,0.83,8000,1,42,0.6718487394957983,0.6435768261964736
164,0.83,8000,1,1337,0.6718487394957983,0.6335012594458438
165,0.83,8000,2,1,0.6836134453781513,0.6486146095717884
166,0.83,8000,2,42,0.6752100840336135,0.646095717884131
167,0.83,8000,2,1337,0.6710084033613445,0.6347607052896725
168,0.9,500,1,1,0.66890756302521,0.6561712846347607
169,0.9,500,1,42,0.6714285714285714,0.6473551637279596
170,0.9,500,1,1337,0.6680672268907563,0.6297229219143576
171,0.9,500,2,1,0.66890756302521,0.6561712846347607
172,0.9,500,2,42,0.6714285714285714,0.6473551637279596
173,0.9,500,2,1337,0.6680672268907563,0.6297229219143576
174,0.9,1000,1,1,0.7340336134453781,0.6826196473551638
175,0.9,1000,1,42,0.7289915966386554,0.6926952141057935
176,0.9,1000,1,1337,0.7302521008403361,0.6700251889168766
177,0.9,1000,2,1,0.7298319327731092,0.6801007556675063
178,0.9,1000,2,42,0.7273109243697479,0.6952141057934509
179,0.9,1000,2,1337,0.7298319327731092,0.6687657430730478
180,0.9,2000,1,1,0.7815126050420168,0.707808564231738
181,0.9,2000,1,42,0.769327731092437,0.7204030226700252
182,0.9,2000,1,1337,0.7764705882352941,0.7002518891687658
183,0.9,2000,2,1,0.7810924369747899,0.7065491183879093
184,0.9,2000,2,42,0.7672268907563026,0.7191435768261965
185,0.9,2000,2,1337,0.7773109243697479,0.6977329974811083
186,0.9,3000,1,1,0.7815126050420168,0.7015113350125944
187,0.9,3000,1,42,0.769327731092437,0.707808564231738
188,0.9,3000,1,1337,0.7739495798319328,0.6952141057934509
189,0.9,3000,2,1,0.7802521008403361,0.7002518891687658
190,0.9,3000,2,42,0.7684873949579832,0.707808564231738
191,0.9,3000,2,1337,0.7747899159663866,0.6964735516372796
192,0.9,4000,1,1,0.765126050420168,0.6889168765743073
193,0.9,4000,1,42,0.7550420168067227,0.6939546599496221
194,0.9,4000,1,1337,0.7512605042016807,0.681360201511335
195,0.9,4000,2,1,0.7630252100840336,0.690176322418136
196,0.9,4000,2,42,0.753781512605042,0.6952141057934509
197,0.9,4000,2,1337,0.7516806722689076,0.681360201511335
198,0.9,5000,1,1,0.7407563025210084,0.6775818639798489
199,0.9,5000,1,42,0.7218487394957983,0.6675062972292192
200,0.9,5000,1,1337,0.7226890756302521,0.6624685138539043
201,0.9,5000,2,1,0.7411764705882353,0.6775818639798489
202,0.9,5000,2,42,0.7243697478991596,0.6675062972292192
203,0.9,5000,2,1337,0.7243697478991596,0.663727959697733
204,0.9,8000,1,1,0.6831932773109244,0.6486146095717884
205,0.9,8000,1,42,0.6718487394957983,0.646095717884131
206,0.9,8000,1,1337,0.6701680672268907,0.6309823677581864
207,0.9,8000,2,1,0.6827731092436975,0.6486146095717884
208,0.9,8000,2,42,0.6739495798319328,0.646095717884131
209,0.9,8000,2,1337,0.6705882352941176,0.6322418136020151
210,1.0,500,1,1,0.6546218487394958,0.646095717884131
211,1.0,500,1,42,0.6554621848739496,0.6372795969773299
212,1.0,500,1,1337,0.6567226890756303,0.628463476070529
213,1.0,500,2,1,0.6546218487394958,0.646095717884131
214,1.0,500,2,42,0.6554621848739496,0.6372795969773299
215,1.0,500,2,1337,0.6563025210084034,0.628463476070529
216,1.0,1000,1,1,0.7100840336134454,0.6662468513853904
217,1.0,1000,1,42,0.7058823529411765,0.6662468513853904
218,1.0,1000,1,1337,0.7058823529411765,0.6523929471032746
219,1.0,1000,2,1,0.7096638655462185,0.6662468513853904
220,1.0,1000,2,42,0.7063025210084034,0.663727959697733
221,1.0,1000,2,1337,0.704201680672269,0.6561712846347607
222,1.0,2000,1,1,0.7567226890756302,0.6926952141057935
223,1.0,2000,1,42,0.7495798319327731,0.7065491183879093
224,1.0,2000,1,1337,0.7521008403361344,0.6838790931989924
225,1.0,2000,2,1,0.7563025210084033,0.6926952141057935
226,1.0,2000,2,42,0.7487394957983193,0.7052896725440806
227,1.0,2000,2,1337,0.7508403361344538,0.6863979848866498
228,1.0,3000,1,1,0.7571428571428571,0.6876574307304786
229,1.0,3000,1,42,0.7512605042016807,0.6939546599496221
230,1.0,3000,1,1337,0.7478991596638656,0.6863979848866498
231,1.0,3000,2,1,0.7579831932773109,0.6889168765743073
232,1.0,3000,2,42,0.7504201680672269,0.6876574307304786
233,1.0,3000,2,1337,0.7478991596638656,0.6863979848866498
234,1.0,4000,1,1,0.7403361344537815,0.6788413098236776
235,1.0,4000,1,42,0.7264705882352941,0.6687657430730478
236,1.0,4000,1,1337,0.7226890756302521,0.6649874055415617
237,1.0,4000,2,1,0.7407563025210084,0.6788413098236776
238,1.0,4000,2,42,0.7252100840336134,0.6687657430730478
239,1.0,4000,2,1337,0.7235294117647059,0.6687657430730478
240,1.0,5000,1,1,0.7159663865546219,0.663727959697733
241,1.0,5000,1,42,0.6991596638655462,0.6599496221662469
242,1.0,5000,1,1337,0.7037815126050421,0.654911838790932
243,1.0,5000,2,1,0.7168067226890756,0.663727959697733
244,1.0,5000,2,42,0.7,0.6599496221662469
245,1.0,5000,2,1337,0.7033613445378152,0.654911838790932
246,1.0,8000,1,1,0.6609243697478991,0.6347607052896725
247,1.0,8000,1,42,0.6508403361344538,0.6309823677581864
248,1.0,8000,1,1337,0.6546218487394958,0.6196473551637279
249,1.0,8000,2,1,0.6592436974789916,0.6360201511335013
250,1.0,8000,2,42,0.6512605042016807,0.6322418136020151
251,1.0,8000,2,1337,0.6542016806722689,0.6209068010075567
